Scenario,Comparison,Statistic,p-value
1state,SJM-BL vs EW,43640.0,4.2674665818799834e-09
1state,SJM-BL vs IV,42729.0,7.4927033558873e-10
1state,SJM-BL vs MVO,17798.0,9.853461717763255e-44
1state,SJM-BL vs HMM-BL-Default,57400.0,0.1059900304114664
1state,SJM-BL vs HMM-BL-KMeans,77.0,2.0083800744700652e-83
2state,SJM-BL vs EW,47741.0,4.129969631373876e-06
2state,SJM-BL vs IV,62355.0,0.9334292066565051
2state,SJM-BL vs MVO,17634.0,4.851445989313765e-44
2state,SJM-BL vs HMM-BL-Default,57563.0,0.11733587055247849
2state,SJM-BL vs HMM-BL-KMeans,30505.0,2.8702339391548393e-23
3state,SJM-BL vs EW,11605.0,3.9908732235040864e-56
3state,SJM-BL vs IV,30102.0,8.150149022412488e-24
3state,SJM-BL vs MVO,9925.0,9.237326234704004e-60
3state,SJM-BL vs HMM-BL-Default,62562.0,0.9844497336644971
3state,SJM-BL vs HMM-BL-KMeans,35221.0,2.2889577440409475e-17
