T,Method,state0_mean,state1_mean,state0_vol,state1_vol,gamma12,gamma21,acc1,acc2,BAC
250,True,0.001,-0.001,0.008,0.016,0.002,0.023,0.994,0.396,0.695
250,MLE default,0.001,-0.002,0.008,0.018,0.036,0.685,0.971,0.09,0.531
250,MLE k-means,0.0,-0.001,0.007,0.007,0.471,0.501,0.751,0.169,0.46
250,Jump Model,0.001,-0.0,0.008,0.012,0.003,0.022,0.888,0.421,0.655
250,Sparse Jump,0.001,-0.0,0.008,0.012,0.003,0.022,0.886,0.431,0.659
500,True,0.001,-0.001,0.008,0.016,0.002,0.023,0.996,0.564,0.78
500,MLE default,0.001,-0.001,0.008,0.018,0.047,0.274,0.998,0.297,0.648
500,MLE k-means,0.001,-0.001,0.007,0.013,0.394,0.401,0.795,0.261,0.528
500,Jump Model,0.001,-0.0,0.008,0.013,0.003,0.02,0.922,0.607,0.765
500,Sparse Jump,0.001,-0.0,0.008,0.013,0.003,0.021,0.918,0.627,0.772
1000,True,0.001,-0.001,0.008,0.016,0.002,0.023,0.996,0.758,0.877
1000,MLE default,0.001,-0.002,0.008,0.018,0.051,0.068,0.998,0.496,0.747
1000,MLE k-means,0.001,-0.001,0.007,0.015,0.22,0.221,0.901,0.551,0.726
1000,Jump Model,0.001,-0.001,0.008,0.015,0.002,0.021,0.969,0.787,0.878
1000,Sparse Jump,0.001,-0.001,0.008,0.015,0.002,0.02,0.962,0.813,0.888
2000,True,0.001,-0.001,0.008,0.016,0.002,0.023,0.996,0.862,0.929
2000,MLE default,0.001,-0.001,0.008,0.017,0.043,0.048,0.997,0.561,0.779
2000,MLE k-means,0.001,-0.001,0.007,0.016,0.068,0.084,0.961,0.773,0.867
2000,Jump Model,0.001,-0.001,0.008,0.016,0.002,0.02,0.988,0.872,0.93
2000,Sparse Jump,0.001,-0.001,0.008,0.016,0.002,0.02,0.985,0.898,0.941
