Parameter,MLEK Mean Error,Jump Mean Error,SparseJump Mean Error,p (Sparse < Jump),p (Jump < MLEK),p (Sparse < MLEK)
state0_mean,0.00015466559521941692,0.00015282501851692968,0.00015000680132879656,0.013441137615960818,0.3513030366547276,0.15719116940533168
state1_mean,0.0029886354221907822,0.001443134768637174,0.0011090279562632156,2.8406811738376477e-37,3.3635549261751996e-59,6.880623183071346e-96
state0_vol,0.0005542222107228409,0.00021226857753579178,0.00022833451310158554,0.9999982014487288,2.774994799299234e-122,2.5751370342259577e-133
state1_vol,0.009280313753932371,0.0015641680144613543,0.0015532665737410724,0.25233219435706344,2.2136275947366107e-160,2.9482741621190574e-160
gamma12,0.2731202814101247,0.000790960567651478,0.0007282426342796746,3.0246753442121487e-06,1.6679299755955323e-165,1.6629295594672565e-165
gamma21,0.23967109336483677,0.008736984175834853,0.008532426672361785,0.00032314463854722197,2.954529125174974e-129,1.5392586646437e-129
acc1,0.013393757898633871,0.012185724835306184,0.019839013986708134,1.0,0.001763654445592454,1.0
acc2,0.5153166387660626,0.12134085790761744,0.09670576876944753,3.198570302709471e-24,3.4889747227751314e-155,1.5295592482020234e-158
BAC,0.26377538343595713,0.06261225014834217,0.05150093039321649,4.157942653977289e-18,6.005254712802112e-156,3.6746829014846835e-158
